RSSI LEFT_ORIGIN,RSSI MIDDLE_ORIGIN,RSSI RIGHT_ORIGIN,RSSI TRUNK_ORIGIN,RSSI FRONTLEFT_ORIGIN,RSSI FRONTRIGHT_ORIGIN,RSSI REARLEFT_ORIGIN,RSSI REARRIGHT_ORIGIN,class
-69,-82,-86,-66,-82,-88,-67,-83,left
-64,-81,-85,-73,-76,-94,-72,-81,left
-73,-66,-67,-46,-86,-92,-63,-67,trunk
-72,-62,-77,-69,-83,-86,-82,-81,start
-78,-72,-77,-73,-86,-68,-89,-90,right
-66,-79,-83,-77,-80,-92,-73,-87,left
-70,-56,-67,-48,-89,-86,-64,-69,trunk
-81,-80,-87,-81,-66,-78,-86,-90,front
-76,-85,-91,-80,-71,-74,-79,-89,front
-59,-72,-77,-74,-85,-97,-80,-81,left
-92,-76,-71,-85,-90,-63,-91,-87,right
-75,-81,-85,-77,-76,-95,-73,-84,lock
-82,-77,-70,-47,-87,-87,-70,-69,trunk
-81,-69,-45,-76,-87,-78,-84,-83,right
-80,-82,-85,-73,-85,-89,-66,-64,back
-73,-86,-88,-82,-79,-89,-71,-76,lock
-84,-88,-87,-86,-67,-72,-89,-89,front
-77,-88,-81,-75,-87,-95,-66,-72,back
-82,-80,-87,-80,-75,-85,-88,-94,front
-78,-62,-67,-62,-81,-81,-84,-80,start
-63,-62,-73,-62,-81,-92,-83,-76,start
-84,-65,-84,-73,-83,-84,-89,-90,right
-70,-70,-66,-44,-90,-93,-73,-70,trunk
-69,-82,-89,-76,-74,-93,-71,-75,lock
-84,-84,-82,-71,-86,-90,-65,-61,back
-87,-72,-78,-80,-86,-75,-84,-86,right
-79,-76,-77,-80,-87,-67,-88,-82,right
-55,-70,-79,-73,-79,-94,-73,-81,left
-74,-83,-88,-77,-67,-85,-79,-89,lock
-64,-83,-81,-71,-78,-93,-78,-88,left
-75,-73,-89,-79,-70,-73,-92,-86,front
-70,-70,-73,-55,-79,-92,-62,-70,trunk
-62,-78,-79,-79,-84,-94,-69,-87,left
-64,-85,-86,-71,-79,-91,-75,-92,left
-64,-65,-70,-64,-82,-84,-82,-91,start
-72,-69,-77,-38,-87,-84,-70,-72,trunk
-70,-68,-65,-48,-82,-88,-70,-69,trunk
-73,-70,-53,-67,-81,-78,-87,-86,right
-76,-77,-86,-69,-86,-93,-67,-71,back
-87,-87,-89,-81,-72,-71,-86,-85,lock
-75,-55,-74,-68,-84,-75,-85,-83,start
-81,-77,-82,-78,-80,-72,-87,-95,front
-63,-84,-87,-75,-72,-96,-71,-85,left
-73,-73,-67,-48,-80,-91,-68,-66,trunk
-71,-86,-92,-90,-63,-77,-78,-95,front
-83,-83,-69,-72,-90,-77,-79,-70,right
-60,-74,-75,-71,-80,-91,-70,-82,left
-86,-80,-87,-81,-71,-72,-92,-94,front
-73,-62,-66,-73,-87,-75,-87,-87,right
-81,-71,-65,-76,-82,-82,-90,-78,right
-65,-65,-71,-45,-82,-86,-68,-66,trunk
-84,-86,-80,-71,-82,-81,-72,-68,back
-69,-55,-65,-68,-80,-76,-80,-82,start
-82,-78,-92,-74,-72,-87,-76,-87,front
-67,-62,-79,-73,-81,-99,-74,-81,left
-58,-58,-74,-63,-83,-89,-81,-79,start
-55,-79,-83,-74,-72,-93,-76,-79,left
-73,-67,-70,-43,-85,-86,-63,-64,trunk
