RSSI LEFT_ORIGIN,RSSI MIDDLE_ORIGIN,RSSI RIGHT_ORIGIN,RSSI TRUNK_ORIGIN,RSSI FRONTLEFT_ORIGIN,RSSI FRONTRIGHT_ORIGIN,RSSI REARLEFT_ORIGIN,RSSI REARRIGHT_ORIGIN,class
-90,-94,-85,-83,-72,-69,-93,-89,lock
-78,-80,-84,-83,-65,-82,-82,-87,front
-72,-67,-77,-72,-89,-92,-79,-75,start
-76,-86,-93,-78,-80,-97,-65,-72,back
-73,-86,-90,-84,-79,-85,-82,-95,lock
-81,-79,-84,-73,-91,-91,-60,-82,back
-70,-62,-61,-64,-81,-86,-78,-78,start
-87,-80,-85,-86,-69,-73,-88,-95,front
-85,-77,-89,-80,-71,-75,-92,-93,front
-66,-67,-68,-44,-85,-86,-65,-64,trunk
-70,-60,-70,-66,-84,-92,-95,-78,start
-86,-80,-81,-80,-87,-68,-89,-83,right
-69,-48,-71,-72,-80,-76,-84,-83,start
-72,-64,-72,-70,-85,-89,-78,-82,start
-71,-65,-79,-66,-77,-82,-88,-78,start
-50,-74,-77,-63,-81,-95,-75,-72,left
-78,-75,-68,-81,-86,-71,-88,-78,right
-71,-58,-66,-61,-79,-83,-81,-72,start
-73,-46,-72,-63,-89,-91,-78,-85,start
-64,-76,-78,-74,-85,-95,-69,-86,left
-77,-85,-83,-74,-84,-94,-59,-68,back
-86,-87,-83,-86,-87,-91,-74,-78,lock
-80,-78,-74,-72,-88,-78,-71,-69,back
-78,-81,-86,-72,-85,-88,-67,-63,back
-70,-82,-90,-76,-68,-90,-81,-84,left
-62,-79,-86,-72,-80,-91,-71,-89,left
-68,-64,-73,-46,-79,-99,-68,-61,trunk
-77,-79,-86,-76,-87,-90,-74,-69,back
-64,-70,-74,-45,-89,-84,-64,-66,trunk
-88,-78,-75,-79,-86,-81,-73,-74,lock
-81,-78,-67,-72,-88,-76,-92,-76,right
-71,-60,-71,-67,-76,-79,-90,-81,start
-62,-71,-76,-40,-82,-90,-65,-61,trunk
-88,-86,-81,-81,-73,-66,-91,-91,lock
-69,-77,-85,-75,-84,-97,-76,-80,lock
-81,-87,-86,-73,-85,-92,-67,-66,back
-85,-80,-81,-81,-87,-81,-91,-77,lock
-71,-72,-62,-51,-77,-89,-73,-83,start
-56,-72,-85,-78,-74,-95,-73,-76,left
-83,-74,-63,-71,-80,-71,-90,-81,right
-70,-44,-73,-70,-86,-85,-81,-84,start
-85,-78,-79,-80,-79,-77,-89,-88,front
-62,-74,-79,-80,-77,-90,-73,-85,left
-60,-74,-83,-73,-79,-97,-75,-89,left
-82,-83,-74,-68,-85,-87,-77,-64,back
-56,-74,-80,-72,-78,-92,-74,-82,left
-85,-79,-84,-69,-82,-89,-67,-61,back
-83,-91,-83,-78,-71,-66,-83,-80,front
-85,-85,-86,-81,-68,-71,-90,-84,front
-69,-83,-86,-82,-83,-95,-77,-82,lock
-69,-44,-68,-64,-87,-90,-87,-80,start
-71,-53,-73,-69,-77,-82,-80,-80,start
-79,-82,-88,-83,-70,-80,-84,-91,front
-73,-59,-79,-70,-76,-89,-89,-82,start
-75,-72,-76,-61,-88,-91,-72,-62,back
-70,-37,-66,-67,-87,-89,-82,-89,start
-54,-63,-75,-58,-80,-85,-75,-81,start
-73,-64,-68,-60,-87,-83,-80,-87,start
-71,-80,-85,-71,-80,-97,-57,-78,back
-79,-80,-90,-78,-74,-68,-87,-86,front
-81,-80,-68,-92,-87,-78,-92,-75,right
-72,-78,-87,-79,-71,-87,-78,-88,left
-72,-86,-83,-75,-78,-90,-73,-94,lock
-88,-91,-87,-78,-90,-84,-76,-72,lock
-76,-54,-80,-71,-78,-82,-85,-92,start
-68,-59,-68,-62,-83,-90,-75,-72,start
-88,-81,-72,-75,-85,-82,-73,-62,back
-83,-78,-81,-88,-79,-60,-96,-87,right
-60,-75,-72,-72,-81,-95,-69,-80,left
-71,-61,-75,-34,-88,-95,-70,-73,trunk
-82,-77,-82,-78,-88,-92,-65,-72,back
-86,-79,-69,-70,-89,-75,-82,-71,right
-71,-65,-55,-58,-83,-78,-75,-79,start
-76,-83,-89,-70,-82,-93,-69,-71,back
-72,-60,-71,-66,-78,-80,-84,-86,start
-89,-83,-74,-82,-82,-72,-82,-74,lock
-89,-80,-79,-76,-79,-64,-91,-81,right
-80,-74,-86,-72,-66,-72,-89,-92,front
-91,-87,-72,-81,-80,-67,-94,-85,right
-59,-71,-74,-72,-83,-92,-72,-81,left
-73,-49,-70,-66,-88,-82,-84,-81,start
-86,-71,-73,-72,-95,-76,-87,-69,right
-80,-76,-69,-72,-89,-82,-86,-72,right
-62,-58,-53,-65,-77,-83,-75,-80,start
-71,-68,-70,-42,-96,-94,-70,-72,trunk
-90,-76,-76,-85,-85,-69,-92,-86,right
-83,-82,-74,-72,-86,-87,-73,-69,back
-65,-80,-82,-71,-82,-95,-70,-85,left
-84,-82,-78,-72,-80,-81,-69,-72,back
-71,-63,-72,-56,-86,-89,-65,-72,trunk
-74,-69,-59,-71,-84,-76,-89,-86,right
