RSSI LEFT_ORIGIN;RSSI MIDDLE_ORIGIN;RSSI RIGHT_ORIGIN;RSSI TRUNK_ORIGIN;RSSI FRONTLEFT_ORIGIN;RSSI FRONTRIGHT_ORIGIN;RSSI REARLEFT_ORIGIN;RSSI REARRIGHT_ORIGIN;COUNTER FLAG
-90;-89;-82;-86;-72;-79;-60;-79;1
-90;-89;-82;-86;-71;-77;-60;-79;1
-90;-91;-83;-86;-71;-78;-59;-80;1
-90;-91;-82;-85;-71;-78;-59;-79;1
-90;-91;-82;-85;-71;-78;-59;-79;1
-90;-91;-82;-85;-71;-78;-59;-79;1
-90;-89;-84;-85;-71;-78;-58;-88;1
-90;-90;-84;-86;-67;-76;-58;-88;1
-90;-91;-85;-87;-67;-76;-58;-86;1
-90;-90;-85;-86;-67;-76;-57;-88;1
-89;-90;-87;-86;-67;-75;-57;-88;1
-90;-90;-85;-85;-66;-74;-57;-88;1
-90;-91;-87;-86;-66;-74;-57;-88;1
-90;-91;-85;-86;-66;-78;-57;-86;1
-91;-91;-84;-86;-66;-77;-57;-86;1
-91;-90;-85;-86;-66;-78;-57;-86;1
-91;-90;-85;-86;-66;-78;-57;-86;1
-91;-90;-85;-86;-66;-78;-57;-86;1
-91;-89;-85;-85;-66;-78;-57;-86;1
-91;-90;-87;-86;-68;-76;-57;-86;1
-91;-91;-87;-86;-68;-76;-58;-81;1
-90;-91;-84;-85;-68;-75;-57;-81;1
-90;-90;-83;-87;-69;-75;-58;-82;1
-92;-90;-84;-86;-69;-76;-59;-79;1
-92;-89;-84;-86;-69;-76;-59;-79;1
-90;-90;-83;-87;-68;-76;-58;-78;1
-90;-91;-82;-86;-70;-78;-59;-78;1
-90;-88;-82;-86;-69;-78;-59;-79;1
-90;-89;-82;-86;-69;-78;-58;-79;1
-90;-90;-85;-86;-68;-77;-58;-78;1
-90;-91;-84;-85;-68;-77;-61;-78;1
-90;-92;-83;-86;-71;-79;-61;-78;1
-90;-89;-82;-86;-72;-79;-59;-83;1
-87;-89;-81;-84;-70;-79;-60;-83;1
-87;-92;-82;-84;-72;-82;-60;-91;1
-87;-89;-83;-86;-72;-81;-63;-86;1
-87;-89;-84;-85;-72;-81;-63;-86;1
-87;-92;-86;-83;-72;-81;-63;-87;1
-87;-91;-86;-83;-74;-79;-62;-83;1
-87;-89;-86;-85;-72;-79;-60;-83;1
-87;-91;-85;-83;-72;-78;-63;-83;1
-87;-91;-85;-83;-72;-78;-63;-83;1
-87;-91;-85;-83;-71;-79;-63;-83;1
-87;-90;-84;-85;-71;-79;-63;-83;1
-87;-90;-83;-87;-74;-79;-60;-83;1
-87;-91;-83;-87;-72;-79;-60;-83;1
-88;-90;-82;-86;-71;-80;-60;-83;1
-88;-90;-81;-86;-73;-80;-60;-83;1
-88;-90;-85;-87;-71;-80;-58;-89;1
-88;-90;-84;-88;-71;-80;-58;-89;1
-88;-89;-83;-86;-71;-80;-58;-89;1
-88;-90;-82;-88;-71;-80;-58;-87;1
-88;-90;-84;-87;-71;-77;-58;-85;1
-88;-92;-84;-87;-71;-77;-57;-90;1
-88;-92;-84;-87;-71;-77;-57;-90;1
-88;-92;-84;-87;-71;-77;-57;-90;1
-88;-90;-86;-85;-71;-78;-57;-90;1
-89;-89;-85;-84;-66;-79;-57;-90;1
-89;-91;-86;-84;-67;-79;-57;-81;1
-89;-92;-87;-84;-66;-78;-56;-79;1
-89;-89;-88;-85;-66;-78;-57;-79;1
-88;-91;-86;-84;-66;-78;-58;-77;1
