COUNTER FLAG;RSSI LEFT_ORIGIN;RSSI MIDDLE_ORIGIN;RSSI RIGHT_ORIGIN;RSSI TRUNK_ORIGIN;RSSI FRONTLEFT_ORIGIN;RSSI FRONTRIGHT_ORIGIN;RSSI REARLEFT_ORIGIN;RSSI REARRIGHT_ORIGIN
1;-89.504;-91.096;-85.184;-85.168;-68.392;-77.64;-57.912;-82.216
2;-84.61111111111111;-86.3425925925926;-82.71296296296296;-85.27777777777777;-63.157407407407405;-83.05555555555556;-60.28703703703704;-77.31481481481481
3;-89.49090909090908;-84.07272727272728;-86.14545454545454;-88.54545454545455;-64.66363636363636;-85.11818181818182;-64.54545454545455;-80.0909090909091
4;-86.93693693693693;-83.95495495495496;-88.14414414414415;-86.13513513513513;-67.6036036036036;-79.44144144144144;-64.78378378378379;-79.26126126126127
5;-88.84745762711864;-90.05084745762711;-77.14406779661017;-84.55932203389831;-71.12711864406779;-82.0;-70.5;-79.02542372881356
6;-84.66949152542372;-82.7457627118644;-75.0677966101695;-77.94067796610169;-71.86440677966101;-84.91525423728814;-62.82203389830509;-80.39830508474576
7;-85.97142857142858;-88.58095238095238;-78.4952380952381;-82.65714285714286;-63.94285714285714;-85.98095238095237;-54.8;-78.99047619047619
8;-87.22881355932203;-88.33050847457628;-88.2457627118644;-86.9322033898305;-65.15254237288136;-91.90677966101696;-54.09322033898305;-76.05084745762711
9;-94.3;-80.13636363636364;-81.46363636363637;-79.77272727272727;-67.06363636363636;-85.73636363636363;-59.04545454545455;-80.02727272727273
10;-81.97345132743362;-80.070796460177;-82.97345132743362;-78.49557522123894;-67.72566371681415;-93.33628318584071;-65.51327433628319;-86.7433628318584
11;-91.73275862068965;-84.9396551724138;-87.43103448275862;-84.0603448275862;-85.38793103448276;-87.90517241379311;-64.8103448275862;-89.52586206896552
12;-86.81896551724138;-80.16379310344827;-80.11206896551724;-76.04310344827586;-68.70689655172414;-91.28448275862068;-60.43103448275862;-81.58620689655173
13;-81.10434782608695;-85.79130434782608;-88.94782608695652;-78.91304347826087;-65.48695652173913;-92.30434782608695;-61.426086956521736;-84.92173913043479
14;-87.34513274336283;-84.75221238938053;-81.21238938053098;-78.84955752212389;-66.92035398230088;-88.23008849557522;-63.46017699115044;-88.1858407079646
15;-86.57758620689656;-80.61206896551724;-76.53448275862068;-81.6896551724138;-71.50862068965517;-94.94827586206897;-59.258620689655174;-78.4396551724138
16;-86.81818181818181;-80.6;-77.52727272727273;-84.39090909090909;-70.2909090909091;-86.58181818181818;-57.24545454545454;-84.82727272727273
17;-84.71052631578948;-93.37719298245614;-74.21929824561404;-86.17543859649123;-71.82456140350877;-93.50877192982456;-59.78947368421053;-74.12280701754386
18;-83.52991452991454;-86.08547008547009;-74.83760683760684;-83.96581196581197;-74.52136752136752;-90.19658119658119;-66.47008547008546;-75.54700854700855
19;-89.56756756756756;-82.83783783783784;-71.90090090090091;-76.30630630630631;-72.08108108108108;-89.31531531531532;-74.10810810810811;-75.63963963963964
20;-89.43103448275862;-78.42241379310344;-71.91379310344827;-74.38793103448276;-71.01724137931035;-92.09482758620689;-65.52586206896552;-76.0
21;-86.62280701754386;-88.96491228070175;-75.82456140350877;-75.33333333333333;-69.73684210526316;-86.04385964912281;-58.53508771929825;-75.36842105263158
22;-91.76363636363637;-82.7;-78.9090909090909;-80.60909090909091;-69.35454545454546;-89.32727272727273;-57.77272727272727;-73.07272727272728
23;-92.05797101449275;-81.39855072463769;-75.6159420289855;-83.66666666666667;-70.47101449275362;-90.8768115942029;-57.528985507246375;-72.23913043478261
24;-84.35714285714286;-94.72321428571429;-85.15178571428571;-79.79464285714286;-74.58035714285714;-79.08928571428571;-63.357142857142854;-79.40178571428571
25;-92.40350877192982;-90.10526315789474;-84.50877192982456;-80.24561403508773;-71.1842105263158;-80.14912280701755;-67.86842105263158;-83.8859649122807
26;-86.81651376146789;-89.04587155963303;-85.88073394495413;-82.76146788990826;-69.6788990825688;-78.44036697247707;-72.55045871559633;-82.81651376146789
27;-84.33898305084746;-81.89830508474576;-86.02542372881356;-89.4322033898305;-60.80508474576271;-84.89830508474576;-64.86440677966101;-78.53389830508475
28;-92.42342342342343;-81.06306306306307;-83.45945945945945;-85.17117117117117;-66.17117117117117;-80.13513513513513;-60.01801801801802;-79.47747747747748
29;-91.10526315789474;-85.74561403508773;-74.37719298245614;-87.35087719298245;-70.28070175438596;-89.30701754385964;-55.719298245614034;-79.79824561403508
30;-81.89473684210526;-84.69298245614036;-77.7719298245614;-79.24561403508773;-68.76315789473684;-88.85087719298245;-61.078947368421055;-87.14912280701755
31;-85.81981981981981;-88.12612612612612;-77.22522522522523;-75.92792792792793;-65.83783783783784;-92.5945945945946;-66.82882882882883;-79.94594594594595
32;-81.63963963963964;-81.55855855855856;-78.33333333333333;-82.08108108108108;-71.54054054054055;-91.66666666666667;-58.072072072072075;-86.83783783783784
33;-82.46428571428571;-78.66071428571429;-83.52678571428571;-81.07142857142857;-76.21428571428571;-88.79464285714286;-54.089285714285715;-81.49107142857143
34;-83.27027027027027;-82.58558558558559;-77.07207207207207;-84.36036036036036;-71.57657657657657;-88.93693693693693;-58.45945945945946;-75.8108108108108
35;-85.63478260869566;-81.96521739130435;-80.15652173913044;-79.56521739130434;-74.75652173913043;-93.17391304347827;-65.64347826086957;-84.73913043478261
36;-91.93693693693693;-84.96396396396396;-75.77477477477477;-81.84684684684684;-72.06306306306307;-90.29729729729729;-68.35135135135135;-83.15315315315316
37;-78.79816513761467;-76.60550458715596;-83.34862385321101;-77.96330275229357;-65.11926605504587;-91.77981651376147;-64.36697247706422;-76.77981651376147
38;-88.72173913043478;-79.92173913043479;-78.27826086956522;-78.51304347826087;-61.97391304347826;-93.43478260869566;-60.84347826086957;-76.18260869565218
39;-89.47826086956522;-89.06086956521739;-76.98260869565217;-75.55652173913043;-65.41739130434783;-88.45217391304348;-62.2;-80.27826086956522
40;-85.41739130434783;-84.51304347826087;-80.83478260869565;-76.80869565217391;-69.69565217391305;-90.49565217391304;-66.68695652173913;-77.95652173913044
41;-83.34234234234235;-90.54054054054055;-72.82882882882883;-83.46846846846847;-71.27927927927928;-87.48648648648648;-63.03603603603604;-74.54054054054055
42;-89.10091743119266;-79.88073394495413;-75.0;-74.3302752293578;-69.03669724770643;-84.90825688073394;-60.25688073394495;-71.56880733944953
43;-84.27049180327869;-84.00819672131148;-75.94262295081967;-73.5327868852459;-67.38524590163935;-88.26229508196721;-59.549180327868854;-72.45901639344262
44;-80.0;-81.30701754385964;-72.99122807017544;-77.21929824561404;-67.78070175438596;-88.32456140350877;-63.23684210526316;-77.47368421052632
45;-86.82882882882883;-86.27927927927928;-80.8018018018018;-81.12612612612612;-69.61261261261261;-91.1891891891892;-63.21621621621622;-74.24324324324324
46;-90.34453781512605;-86.76470588235294;-86.83193277310924;-75.28571428571429;-72.11764705882354;-88.42857142857143;-63.35294117647059;-72.0
47;-91.1231884057971;-88.23188405797102;-86.65217391304348;-79.40579710144928;-78.6231884057971;-85.20289855072464;-60.60144927536232;-77.57971014492753
48;-83.53097345132744;-91.10619469026548;-86.21238938053098;-84.27433628318585;-68.91150442477876;-87.54867256637168;-64.91150442477876;-80.94690265486726
49;-81.5304347826087;-87.97391304347826;-87.4608695652174;-82.25217391304348;-60.89565217391304;-87.41739130434783;-68.65217391304348;-77.94782608695652
50;-81.38793103448276;-86.12931034482759;-81.51724137931035;-83.81896551724138;-60.775862068965516;-83.34482758620689;-63.51724137931034;-75.43103448275862
51;-82.25;-84.66071428571429;-84.70535714285714;-84.0;-61.75892857142857;-80.44642857142857;-60.75;-77.08035714285714
52;-80.20535714285714;-84.15178571428571;-88.05357142857143;-82.89285714285714;-64.58928571428571;-75.60714285714286;-58.67857142857143;-77.91071428571429
53;-88.41025641025641;-82.6068376068376;-75.53846153846153;-79.24786324786325;-60.93162393162393;-84.22222222222223;-62.98290598290598;-83.00854700854701
54;-81.3157894736842;-86.78070175438596;-81.01754385964912;-76.17543859649123;-60.324561403508774;-83.71052631578948;-60.078947368421055;-86.9298245614035
55;-80.41071428571429;-82.71428571428571;-81.3125;-82.77678571428571;-66.34821428571429;-86.84821428571429;-55.785714285714285;-88.89285714285714
56;-84.9375;-82.07142857142857;-89.11607142857143;-79.61607142857143;-69.8125;-82.8125;-55.24107142857143;-86.69642857142857
57;-82.45689655172414;-84.30172413793103;-81.25862068965517;-76.15517241379311;-65.23275862068965;-78.75;-63.19827586206897;-91.3103448275862
58;-88.15652173913044;-81.05217391304348;-89.84347826086956;-91.3391304347826;-73.27826086956522;-78.87826086956522;-60.95652173913044;-93.45217391304348
59;-87.73684210526316;-85.35087719298245;-77.92105263157895;-77.46491228070175;-66.0701754385965;-83.63157894736842;-60.49122807017544;-92.82456140350877
60;-81.64220183486239;-76.76146788990826;-76.97247706422019;-76.08256880733946;-59.972477064220186;-74.1743119266055;-67.44954128440367;-91.89908256880734
61;-86.58119658119658;-88.35042735042735;-82.22222222222223;-88.11111111111111;-62.15384615384615;-80.91452991452991;-59.205128205128204;-86.14529914529915
62;-88.86086956521739;-90.10434782608695;-75.51304347826087;-78.26086956521739;-65.00869565217391;-89.02608695652174;-59.06956521739131;-85.24347826086957
63;-85.61739130434782;-86.08695652173913;-74.42608695652174;-84.74782608695652;-69.31304347826087;-77.92173913043479;-64.43478260869566;-91.98260869565217
64;-85.15454545454546;-88.26363636363637;-77.1;-78.75454545454545;-71.68181818181819;-72.56363636363636;-62.60909090909091;-90.27272727272727
65;-85.23931623931624;-86.11965811965813;-74.94017094017094;-78.97435897435898;-69.0;-74.6068376068376;-57.18803418803419;-90.76068376068376
66;-89.99122807017544;-83.36842105263158;-76.24561403508773;-79.15789473684211;-68.70175438596492;-76.1140350877193;-56.578947368421055;-90.49122807017544
67;-84.62280701754386;-84.23684210526316;-84.28070175438596;-89.85087719298245;-68.08771929824562;-79.2280701754386;-63.719298245614034;-88.98245614035088
68;-86.16071428571429;-83.83928571428571;-87.375;-80.10714285714286;-69.42857142857143;-77.5;-74.08035714285714;-89.41964285714286
69;-90.43076923076923;-95.3076923076923;-85.75384615384615;-80.42307692307692;-70.76923076923077;-72.14615384615385;-67.01538461538462;-87.76923076923077
70;-89.25217391304348;-88.61739130434782;-74.64347826086957;-85.0695652173913;-70.24347826086957;-76.98260869565217;-60.243478260869566;-82.21739130434783
71;-86.80172413793103;-90.61206896551724;-79.73275862068965;-84.25862068965517;-69.20689655172414;-80.45689655172414;-62.71551724137931;-82.8103448275862
72;-80.60185185185185;-90.24074074074075;-82.75;-83.0;-67.19444444444444;-80.8425925925926;-60.7037037037037;-80.9074074074074
73;-80.85470085470085;-87.42735042735043;-85.03418803418803;-80.8974358974359;-61.17094017094017;-77.93162393162393;-57.7008547008547;-83.7948717948718
74;-83.00862068965517;-81.76724137931035;-80.61206896551724;-80.42241379310344;-61.189655172413794;-82.53448275862068;-59.672413793103445;-85.9396551724138
75;-77.31818181818181;-81.56363636363636;-79.96363636363637;-86.42727272727272;-72.62727272727273;-82.73636363636363;-62.6;-77.7909090909091
76;-81.29357798165138;-79.19266055045871;-78.4954128440367;-77.10091743119266;-64.75229357798165;-83.98165137614679;-62.11926605504587;-77.61467889908256
77;-80.51754385964912;-81.6140350877193;-73.43859649122807;-80.6842105263158;-64.01754385964912;-86.75438596491227;-57.81578947368421;-86.73684210526316
78;-79.08403361344538;-79.90756302521008;-82.73109243697479;-78.6470588235294;-72.5126050420168;-87.0;-56.36134453781513;-80.36974789915966
79;-84.78571428571429;-79.41071428571429;-87.00892857142857;-87.1875;-71.03571428571429;-93.52678571428571;-55.63392857142857;-83.01785714285714
80;-84.13513513513513;-83.34234234234235;-75.21621621621621;-79.51351351351352;-64.81981981981981;-87.84684684684684;-54.4054054054054;-86.16216216216216
81;-78.61818181818182;-79.67272727272727;-86.48181818181818;-85.51818181818182;-63.336363636363636;-91.9;-58.63636363636363;-82.48181818181818
82;-85.94915254237289;-82.27118644067797;-75.77118644067797;-78.45762711864407;-66.83050847457628;-91.19491525423729;-61.313559322033896;-84.87288135593221
83;-89.41228070175438;-91.52631578947368;-74.7719298245614;-79.63157894736842;-72.79824561403508;-90.37719298245614;-62.94736842105263;-74.93859649122807
84;-85.56756756756756;-86.65765765765765;-73.86486486486487;-83.61261261261261;-64.46846846846847;-88.8108108108108;-59.75675675675676;-75.72972972972973
85;-85.83035714285714;-83.08035714285714;-73.58035714285714;-89.98214285714286;-66.70535714285714;-94.49107142857143;-60.151785714285715;-71.98214285714286
86;-89.53448275862068;-80.52586206896552;-71.16379310344827;-74.5603448275862;-66.45689655172414;-93.08620689655173;-67.20689655172414;-71.5
87;-88.92660550458716;-85.03669724770643;-71.8256880733945;-72.0091743119266;-69.5137614678899;-93.11009174311927;-57.65137614678899;-75.24770642201835
88;-78.33333333333333;-85.19166666666666;-72.04166666666667;-74.73333333333333;-71.4;-93.94166666666666;-62.86666666666667;-69.73333333333333
89;-86.6283185840708;-84.04424778761062;-80.08849557522124;-79.30973451327434;-73.68141592920354;-92.03539823008849;-58.15929203539823;-71.50442477876106
90;-89.13157894736842;-89.19298245614036;-81.02631578947368;-74.01754385964912;-71.33333333333333;-91.83333333333333;-58.35087719298246;-71.52631578947368
91;-83.89380530973452;-93.17699115044248;-83.47787610619469;-83.88495575221239;-67.72566371681415;-87.85840707964601;-61.39823008849557;-77.83185840707965
92;-81.61320754716981;-89.80188679245283;-80.24528301886792;-92.67924528301887;-68.0;-89.9622641509434;-61.77358490566038;-73.37735849056604
93;-81.3;-87.9;-88.58333333333333;-91.68333333333334;-65.74166666666666;-81.73333333333333;-69.025;-81.08333333333333
