TIMESTAMP;RSSI NO ANTENNA;RSSI ANTENNA PCB;RSSI ANTENNA 3D;AVERAGE NO;AVERAGE PCB;AVERAGE 3D;ORIENTATION_X;ORIENTATION_Y;ORIENTATION_Z;
14:31:43:558;0;-61;0;0;0;0;0,644;-0,068;-0,014;
14:31:43:716;0;0;-61;0;0;0;0,621;-0,056;-0,011;
14:31:43:870;0;-62;0;0;0;0;0,605;-0,064;-0,018;
14:31:44:026;0;0;-60;0;0;0;0,583;-0,062;-0,020;
14:31:44:178;0;-61;0;0;0;0;0,619;-0,060;-0,014;
14:31:44:333;0;0;-57;0;0;0;0,615;-0,063;-0,015;
14:31:44:488;0;-58;0;0;0;0;0,616;-0,056;-0,018;
14:31:44:959;0;0;-59;0;0;0;0,619;-0,063;-0,014;
14:31:45:109;0;-60;0;0;0;0;0,623;-0,056;-0,018;
14:31:45:260;0;0;-63;0;0;0;1,557;-0,062;-0,014;
14:31:45:417;0;-60;0;0;0;0;1,731;-0,057;-0,017;
14:31:45:577;0;0;-60;0;0;0;1,741;-0,061;-0,016;
14:31:45:728;0;-63;0;0;0;0;1,699;-0,057;-0,016;
14:31:45:884;0;0;-66;0;0;0;1,724;-0,063;-0,014;
14:31:46:039;0;-68;0;0;0;0;1,723;-0,057;-0,017;
14:31:46:193;0;0;-66;0;0;0;1,708;-0,063;-0,016;
14:31:46:352;0;-58;0;0;0;0;1,717;-0,057;-0,013;
14:31:46:506;0;0;-67;0;0;0;1,708;-0,062;-0,015;
14:31:46:658;0;-60;0;0;0;0;1,717;-0,058;-0,018;
14:31:46:814;0;0;-63;0;0;0;1,702;-0,063;-0,017;
14:31:47:282;0;-62;0;0;0;0;1,710;-0,058;-0,015;
14:31:47:433;0;0;-64;0;0;0;1,715;-0,060;-0,014;
14:31:47:592;0;-64;0;0;0;0;1,716;-0,060;-0,017;
14:31:47:743;0;0;-62;0;0;0;1,725;-0,058;-0,014;
14:31:47:901;0;-60;0;0;0;0;1,713;-0,059;-0,017;
14:31:48:054;0;0;-61;0;0;0;1,708;-0,059;-0,013;
14:31:48:209;0;-61;0;0;0;0;1,703;-0,059;-0,016;
14:31:48:364;0;0;-59;0;0;0;1,710;-0,058;-0,017;
14:31:48:518;0;-61;0;0;0;0;1,712;-0,060;-0,016;
14:31:48:673;0;0;-61;0;0;0;1,716;-0,058;-0,017;
14:31:48:828;0;-60;0;0;0;0;1,720;-0,058;-0,016;
14:31:48:983;0;0;-60;0;0;0;1,716;-0,060;-0,015;
14:31:49:450;0;-60;0;0;0;0;1,700;-0,061;-0,015;
14:31:50:071;0;-61;0;0;0;0;1,719;-0,060;-0,015;
14:31:50:223;0;0;-59;0;0;0;1,717;-0,059;-0,017;
14:31:50:378;0;-60;0;0;0;0;1,713;-0,061;-0,016;
14:31:50:533;0;0;-60;0;0;0;1,715;-0,060;-0,016;
14:31:50:688;0;-60;0;0;-61;0;1,716;-0,059;-0,017;
14:31:50:843;0;0;-59;0;0;0;1,715;-0,059;-0,016;
14:31:50:998;0;-59;0;0;-60;0;1,719;-0,058;-0,018;
14:31:51:153;0;0;-59;0;0;-61;1,711;-0,059;-0,015;
14:31:51:308;0;-61;0;0;-60;0;1,717;-0,060;-0,016;
14:31:51:463;0;0;-59;0;0;-61;1,719;-0,059;-0,014;
14:31:51:619;0;-61;0;0;-60;0;1,720;-0,059;-0,015;
14:31:51:777;0;0;-61;0;0;-61;1,726;-0,059;-0,017;
14:31:51:928;0;-63;0;0;-61;0;1,724;-0,059;-0,015;
14:31:52:398;0;0;-62;0;0;-61;1,705;-0,060;-0,015;
14:31:52:549;0;-64;0;0;-61;0;1,720;-0,061;-0,016;
14:31:52:704;0;0;-62;0;0;-61;1,720;-0,060;-0,016;
14:31:52:859;0;-65;0;0;-61;0;1,724;-0,061;-0,017;
14:31:53:013;0;0;-63;0;0;-61;1,730;-0,059;-0,015;
14:31:53:168;0;-63;0;0;-61;0;1,707;-0,060;-0,017;
14:31:53:327;0;0;-62;0;0;-61;1,698;-0,062;-0,015;
14:31:53:478;0;-61;0;0;-61;0;1,701;-0,060;-0,016;
14:31:53:633;0;0;-61;0;0;-61;1,697;-0,059;-0,016;
14:31:53:788;0;-62;0;0;-61;0;1,706;-0,057;-0,014;
14:31:53:943;0;0;-62;0;0;-61;1,704;-0,058;-0,017;
14:31:54:101;0;-62;0;0;-61;0;1,695;-0,064;-0,015;
14:31:54:738;0;-61;0;0;-61;0;1,706;-0,065;-0,018;
14:31:54:873;0;0;-61;0;0;-61;1,732;-0,055;-0,019;
14:31:55:028;0;-61;0;0;-61;0;1,711;-0,065;-0,014;
