TIMESTAMP;RSSI NO ANTENNA;RSSI ANTENNA PCB;RSSI ANTENNA 3D;AVERAGE NO;AVERAGE PCB;AVERAGE 3D;ORIENTATION_X;ORIENTATION_Y;ORIENTATION_Z;
14:07:39:221;0;0;-66;0;0;0;0,926;-0,002;-0,015;
14:07:39:316;0;-67;0;0;0;0;1,106;-0,000;-0,016;
14:07:39:473;0;0;-64;0;0;0;1,043;0,001;-0,016;
14:07:40:091;0;0;-69;0;0;0;0,998;0,002;-0,018;
14:07:40:246;0;-69;0;0;0;0;0,984;0,000;-0,016;
14:07:40:401;0;0;-71;0;0;0;0,965;0,000;-0,015;
14:07:40:559;0;-65;0;0;0;0;0,949;0,001;-0,017;
14:07:40:711;0;0;-63;0;0;0;0,960;0,002;-0,017;
14:07:40:866;0;-66;0;0;0;0;0,971;-0,000;-0,016;
14:07:41:021;0;0;-65;0;0;0;0,977;0,001;-0,018;
14:07:41:176;0;-65;0;0;0;0;0,967;-0,001;-0,015;
14:07:41:331;0;0;-67;0;0;0;0,972;-0,000;-0,017;
14:07:41:486;0;-72;0;0;0;0;0,953;-0,000;-0,017;
14:07:41:642;0;0;-70;0;0;0;0,954;-0,000;-0,015;
14:07:41:796;0;-66;0;0;0;0;0,958;0,000;-0,019;
14:07:41:951;0;0;-66;0;0;0;0,942;-0,002;-0,016;
14:07:42:424;0;-71;0;0;0;0;0,948;0,003;-0,015;
14:07:42:569;0;0;-72;0;0;0;0,981;-0,000;-0,016;
14:07:42:724;0;-69;0;0;0;0;1,014;0,003;-0,016;
14:07:42:882;0;0;-72;0;0;0;1,027;-0,000;-0,016;
14:07:43:036;0;-68;0;0;0;0;1,030;-0,000;-0,016;
14:07:43:191;0;0;-69;0;0;0;0,981;-0,000;-0,018;
14:07:43:346;0;-73;0;0;0;0;0,959;-0,001;-0,016;
14:07:43:501;0;0;-71;0;0;0;0,947;0,001;-0,014;
14:07:43:656;0;-70;0;0;0;0;0,953;0,000;-0,018;
14:07:43:811;0;0;-68;0;0;0;0,957;0,001;-0,014;
14:07:43:969;0;-69;0;0;0;0;0,959;0,001;-0,017;
14:07:44:121;0;0;-70;0;0;0;0,965;0,001;-0,016;
14:07:44:291;0;-67;0;0;0;0;0,958;0,002;-0,018;
14:07:44:585;0;-70;0;0;0;0;0,950;0,002;-0,016;
14:07:44:741;0;0;-68;0;0;0;0,953;0,000;-0,018;
14:07:44:896;0;-71;0;0;0;0;0,946;0,002;-0,016;
14:07:45:054;0;0;-71;0;0;0;0,957;0,001;-0,018;
14:07:45:206;0;-72;0;0;0;0;0,966;0,000;-0,018;
14:07:45:361;0;0;-70;0;0;0;0,980;0,001;-0,016;
14:07:45:516;0;-68;0;0;0;0;0,971;-0,000;-0,018;
14:07:45:671;0;0;-67;0;0;0;0,974;-0,001;-0,019;
14:07:45:826;0;-69;0;0;0;0;0,962;-0,000;-0,017;
14:07:45:982;0;0;-69;0;0;-68;0,955;-0,001;-0,017;
14:07:46:136;0;-70;0;0;-68;0;0,965;0,001;-0,016;
14:07:46:291;0;0;-68;0;0;-68;0,963;0,002;-0,018;
14:07:46:446;0;-68;0;0;-68;0;0,963;0,002;-0,017;
14:07:47:098;0;-66;0;0;-68;0;0,979;0,002;-0,019;
14:07:47:221;0;0;-66;0;0;-68;0,990;0,000;-0,015;
14:07:47:376;0;-66;0;0;-68;0;0,982;-0,002;-0,017;
14:07:47:531;0;0;-66;0;0;-68;0,978;0,002;-0,020;
14:07:47:686;0;-66;0;0;-68;0;0,977;-0,000;-0,018;
14:07:47:842;0;0;-66;0;0;-68;0,953;0,000;-0,018;
14:07:47:995;0;-66;0;0;-68;0;0,952;-0,000;-0,018;
14:07:48:151;0;0;-67;0;0;-68;0,954;-0,000;-0,016;
14:07:48:307;0;-66;0;0;-68;0;0,955;-0,002;-0,016;
14:07:48:462;0;0;-67;0;0;-68;0,964;-0,003;-0,015;
14:07:48:616;0;-66;0;0;-68;0;0,952;-0,001;-0,016;
14:07:48:771;0;0;-67;0;0;-68;0,966;0,001;-0,016;
