TIMESTAMP;RSSI NO ANTENNA;RSSI ANTENNA PCB;RSSI ANTENNA 3D;AVERAGE NO;AVERAGE PCB;AVERAGE 3D;ORIENTATION_X;ORIENTATION_Y;ORIENTATION_Z;
14:26:02:268;0;-57;0;0;0;0;-0,922;-1,530;1,934;
14:26:02:415;0;0;-57;0;0;0;-0,353;-1,510;2,522;
14:26:02:572;0;-58;0;0;0;0;-1,267;-1,529;1,592;
14:26:02:727;0;0;-56;0;0;0;-1,704;-1,510;1,211;
14:26:02:879;0;-58;0;0;0;0;-0,826;-1,534;2,033;
14:26:03:035;0;0;-54;0;0;0;-0,608;-1,512;2,259;
14:26:03:190;0;-60;0;0;0;0;-1,190;-1,533;1,674;
14:26:03:345;0;0;-55;0;0;0;-1,595;-1,523;1,294;
14:26:03:499;0;-57;0;0;0;0;-0,978;-1,524;1,894;
14:26:03:655;0;0;-61;0;0;0;-0,545;-1,528;2,289;
14:26:03:810;0;-57;0;0;0;0;-1,101;-1,526;1,759;
14:26:03:965;0;0;-60;0;0;0;-1,433;-1,532;1,419;
14:26:04:437;0;-59;0;0;0;0;-1,088;-1,525;1,768;
14:26:05:066;0;-58;0;0;0;0;-1,006;-1,533;1,836;
14:26:05:204;0;0;-58;0;0;0;-1,245;-1,525;1,613;
14:26:05:359;0;-58;0;0;0;0;-0,950;-1,529;1,898;
14:26:05:515;0;0;-59;0;0;0;-0,762;-1,526;2,083;
14:26:05:670;0;-60;0;0;0;0;-1,073;-1,529;1,785;
14:26:05:824;0;0;-59;0;0;0;-1,292;-1,532;1,561;
14:26:05:979;0;-58;0;0;0;0;-1,029;-1,522;1,826;
14:26:06:134;0;0;-58;0;0;0;-0,654;-1,531;2,168;
14:26:06:289;0;-60;0;0;0;0;-1,120;-1,520;1,737;
14:26:06:448;0;0;-60;0;0;0;-1,179;-1,530;1,665;
14:26:06:599;0;-59;0;0;0;0;-0,937;-1,521;1,916;
14:26:06:757;0;0;-60;0;0;0;-0,784;-1,529;2,055;
14:26:06:909;0;-59;0;0;0;0;-1,109;-1,524;1,749;
14:26:07:383;0;0;-59;0;0;0;-0,880;-1,530;1,950;
14:26:07:529;0;-59;0;0;0;0;-1,219;-1,527;1,637;
14:26:07:684;0;0;-59;0;0;0;-0,989;-1,529;1,860;
14:26:07:839;0;-59;0;0;0;0;-0,902;-1,529;1,952;
14:26:07:995;0;0;-59;0;0;0;-0,942;-1,531;1,910;
14:26:08:149;0;-61;0;0;0;0;-1,144;-1,532;1,710;
14:26:08:304;0;0;-59;0;0;0;-1,097;-1,526;1,759;
14:26:08:615;0;0;-59;0;0;0;-1,089;-1,505;1,790;
14:26:08:770;0;-60;0;0;0;0;-0,990;-1,544;1,830;
14:26:08:925;0;0;-59;0;0;0;-1,049;-1,519;1,812;
14:26:09:079;0;-59;0;0;0;0;-1,039;-1,531;1,807;
14:26:09:719;0;-59;0;0;-58;0;-1,002;-1,525;1,870;
14:26:09:857;0;0;-59;0;0;0;-1,088;-1,535;1,779;
14:26:10:009;0;-60;0;0;-58;0;-1,059;-1,523;1,827;
14:26:10:165;0;0;-59;0;0;-58;-1,023;-1,532;1,842;
14:26:10:319;0;-59;0;0;-58;0;-1,069;-1,524;1,798;
14:26:10:475;0;0;-59;0;0;-58;-1,030;-1,530;1,817;
14:26:10:629;0;-59;0;0;-59;0;-1,038;-1,526;1,816;
14:26:10:785;0;0;-59;0;0;-58;-1,075;-1,529;1,775;
14:26:10:939;0;-59;0;0;-58;0;-1,070;-1,527;1,786;
14:26:11:094;0;0;-59;0;0;-58;-1,007;-1,527;1,847;
14:26:11:249;0;-59;0;0;-59;0;-0,901;-1,527;1,941;
14:26:11:405;0;0;-59;0;0;-59;-1,124;-1,529;1,726;
14:26:11:877;0;-59;0;0;-59;0;-1,000;-1,527;1,850;
14:26:12:026;0;0;-59;0;0;-59;-1,079;-1,528;1,782;
14:26:12:180;0;-59;0;0;-59;0;-1,090;-1,525;1,779;
14:26:12:331;0;0;-59;0;0;-59;-0,965;-1,530;1,895;
14:26:12:490;0;-59;0;0;-59;0;-1,064;-1,526;1,797;
14:26:12:645;0;0;-59;0;0;-59;-1,028;-1,529;1,825;
14:26:12:799;0;-59;0;0;-59;0;-0,975;-1,527;1,880;
14:26:12:954;0;0;-59;0;0;-59;-0,950;-1,530;1,895;
14:26:13:109;0;-59;0;0;-59;0;-1,062;-1,524;1,796;
14:26:13:265;0;0;-59;0;0;-59;-0,976;-1,530;1,867;
14:26:13:419;0;-59;0;0;-59;0;-0,964;-1,527;1,880;
14:26:13:729;0;-59;0;0;-59;0;-1,009;-1,525;1,835;
14:26:14:206;0;0;-59;0;0;-59;-0,987;-1,529;1,849;
14:26:14:349;0;-59;0;0;-59;0;-1,009;-1,526;1,841;
14:26:14:504;0;0;-59;0;0;-59;-0,979;-1,531;1,859;
14:26:14:978;0;-59;0;0;-59;0;-1,011;-1,527;1,825;
14:26:15:124;0;0;-59;0;0;-59;-0,969;-1,528;1,868;
14:26:15:279;0;-59;0;0;-59;0;-0,974;-1,529;1,864;
14:26:15:434;0;0;-59;0;0;-59;-1,017;-1,530;1,828;
14:26:15:589;0;-58;0;0;-59;0;-0,998;-1,525;1,856;
14:26:15:747;0;0;-59;0;0;-59;-0,881;-1,527;1,960;
14:26:15:902;0;-59;0;0;-59;0;-1,031;-1,528;1,819;
14:26:16:054;0;0;-59;0;0;-59;-1,004;-1,529;1,845;
14:26:16:212;0;-59;0;0;-59;0;-1,073;-1,528;1,771;
14:26:16:364;0;0;-59;0;0;-59;-0,981;-1,529;1,860;
14:26:16:519;0;-59;0;0;-59;0;-0,988;-1,526;1,855;
14:26:16:674;0;0;-59;0;0;-59;-1,016;-1,528;1,828;
14:26:16:829;0;-59;0;0;-59;0;-0,921;-1,528;1,924;
14:26:17:300;0;0;-59;0;0;-59;-1,397;-1,521;1,472;
14:26:17:449;0;-59;0;0;-58;0;-0,903;-1,524;1,946;
14:26:17:604;0;0;-59;0;0;-59;-0,104;-1,514;2,663;
14:26:17:759;0;-59;0;0;-58;0;-1,552;-1,516;1,253;
14:26:17:914;0;0;-60;0;0;-59;-1,627;-1,548;1,059;
14:26:18:069;0;-60;0;0;-59;0;-0,830;-1,521;1,802;
14:26:18:224;0;0;-60;0;0;-59;-0,449;-1,504;2,125;
14:26:18:379;0;-60;0;0;-59;0;-0,232;-1,524;2,272;
14:26:18:534;0;0;-60;0;0;-59;-1,514;-1,510;1,031;
14:26:18:844;0;0;-60;0;0;-59;-0,306;-1,499;2,150;
14:26:18:999;0;-61;0;0;-59;0;-0,509;-1,528;1,943;
14:26:19:638;0;-60;0;0;-59;0;-0,622;-1,512;1,867;
14:26:19:774;0;0;-60;0;0;-59;-1,143;-1,537;1,347;
14:26:19:929;0;-60;0;0;-59;0;-1,070;-1,527;1,435;
14:26:20:084;0;0;-60;0;0;-59;-0,502;-1,516;1,988;
14:26:20:239;0;-60;0;0;-59;0;-0,423;-1,517;2,054;
14:26:20:394;0;0;-61;0;0;-59;-0,883;-1,522;1,610;
14:26:20:549;0;-60;0;0;-59;0;-0,993;-1,540;1,476;
14:26:20:704;0;0;-61;0;0;-59;-0,638;-1,516;1,839;
14:26:20:859;0;-60;0;0;-59;0;-0,428;-1,519;2,029;
14:26:21:014;0;0;-61;0;0;-59;-0,611;-1,522;1,852;
14:26:21:169;0;-60;0;0;-59;0;-1,033;-1,531;1,435;
14:26:21:324;0;0;-60;0;0;-59;-0,678;-1,529;1,785;
14:26:21:795;0;-60;0;0;-59;0;-1,004;-1,527;1,481;
14:26:21:944;0;0;-60;0;0;-59;-0,729;-1,531;1,746;
14:26:22:099;0;-60;0;0;-59;0;-0,515;-1,520;1,957;
14:26:22:254;0;0;-61;0;0;-59;-0,548;-1,521;1,939;
14:26:22:409;0;-61;0;0;-59;0;-0,914;-1,531;1,580;
14:26:22:564;0;0;-61;0;0;-59;-0,847;-1,527;1,638;
14:26:22:719;0;-61;0;0;-59;0;-0,422;-1,523;2,038;
14:26:22:874;0;0;-61;0;0;-60;-0,543;-1,516;1,917;
14:26:23:029;0;-61;0;0;-59;0;-0,762;-1,529;1,700;
14:26:23:184;0;0;-61;0;0;-60;-0,868;-1,528;1,603;
14:26:23:339;0;-60;0;0;-59;0;-0,541;-1,521;1,916;
14:26:23:494;0;0;-61;0;0;-60;-0,518;-1,524;1,942;
14:26:23:649;0;-61;0;0;-60;0;-0,765;-1,527;1,705;
14:26:24:112;0;0;-61;0;0;-60;-0,513;-1,525;1,950;
14:26:24:269;0;-61;0;0;-60;0;-0,796;-1,528;1,685;
14:26:24:424;0;0;-60;0;0;-60;-0,781;-1,529;1,702;
14:26:25:057;0;0;-61;0;0;-60;-0,777;-1,526;1,702;
14:26:25:199;0;-61;0;0;-60;0;-0,605;-1,524;1,874;
14:26:25:354;0;0;-61;0;0;-60;-0,633;-1,522;1,852;
14:26:25:509;0;-61;0;0;-60;0;-0,778;-1,530;1,705;
14:26:25:664;0;0;-60;0;0;-60;-0,747;-1,529;1,737;
14:26:25:819;0;-60;0;0;-60;0;-0,609;-1,523;1,865;
14:26:25:974;0;0;-60;0;0;-60;-0,661;-1,525;1,811;
14:26:26:132;0;-61;0;0;-60;0;-0,822;-1,527;1,661;
14:26:26:284;0;0;-60;0;0;-60;-0,733;-1,527;1,741;
14:26:26:442;0;-60;0;0;-60;0;-0,564;-1,523;1,911;
14:26:26:594;0;0;-61;0;0;-60;-0,612;-1,525;1,859;
14:26:26:749;0;-61;0;0;-60;0;-0,743;-1,530;1,739;
14:26:26:906;0;0;-61;0;0;-60;-0,705;-1,524;1,787;
14:26:27:373;0;-60;0;0;-60;0;-0,745;-1,526;1,750;
14:26:27:524;0;0;-61;0;0;-60;-0,727;-1,527;1,766;
14:26:27:676;0;-61;0;0;-60;0;-0,634;-1,522;1,852;
14:26:27:834;0;0;-61;0;0;-60;-0,658;-1,526;1,830;
14:26:27:992;0;-61;0;0;-60;0;-0,784;-1,527;1,705;
