TIMESTAMP;RSSI NO ANTENNA;RSSI ANTENNA PCB;RSSI ANTENNA 3D;AVERAGE NO;AVERAGE PCB;AVERAGE 3D;ORIENTATION_X;ORIENTATION_Y;ORIENTATION_Z;
14:19:13:239;0;0;-70;0;0;0;-0,629;-1,516;2,120;
14:19:13:387;0;-75;0;0;0;0;-0,689;-1,526;2,064;
14:19:13:540;0;0;-68;0;0;0;-1,362;-1,523;1,404;
14:19:13:698;0;-68;0;0;0;0;-0,904;-1,529;1,860;
14:19:13:848;0;0;-67;0;0;0;-0,696;-1,521;2,065;
14:19:14:003;0;-71;0;0;0;0;-1,080;-1,530;1,680;
14:19:14:158;0;0;-68;0;0;0;-1,129;-1,524;1,633;
14:19:14:313;0;-65;0;0;0;0;-0,701;-1,526;2,058;
14:19:14:468;0;0;-63;0;0;0;-0,878;-1,524;1,887;
14:19:15:104;0;0;-68;0;0;0;-1,081;-1,524;1,686;
14:19:15:243;0;-68;0;0;0;0;-0,927;-1,527;1,836;
14:19:15:401;0;0;-66;0;0;0;-0,873;-1,523;1,891;
14:19:15:553;0;-67;0;0;0;0;-0,760;-1,524;2,000;
14:19:15:708;0;0;-64;0;0;0;-1,060;-1,526;1,702;
14:19:15:863;0;-69;0;0;0;0;-1,005;-1,525;1,757;
14:19:16:018;0;0;-67;0;0;0;-0,869;-1,525;1,891;
14:19:16:173;0;-67;0;0;0;0;-0,927;-1,527;1,833;
14:19:16:328;0;0;-65;0;0;0;-1,063;-1,529;1,700;
14:19:16:486;0;-68;0;0;0;0;-0,956;-1,526;1,806;
14:19:16:638;0;0;-66;0;0;0;-0,870;-1,528;1,887;
14:19:16:793;0;-67;0;0;0;0;-0,977;-1,526;1,784;
14:19:16:948;0;0;-66;0;0;0;-0,904;-1,527;1,858;
14:19:17:422;0;-72;0;0;0;0;-1,071;-1,527;1,694;
14:19:17:726;0;-70;0;0;0;0;-1,072;-1,526;1,691;
14:19:17:878;0;0;-68;0;0;0;-1,017;-1,523;1,748;
14:19:18:033;0;-68;0;0;0;0;-0,825;-1,529;1,936;
14:19:18:188;0;0;-67;0;0;0;-1,072;-1,523;1,695;
14:19:18:344;0;-70;0;0;0;0;-1,126;-1,529;1,641;
14:19:18:498;0;0;-67;0;0;0;-0,876;-1,526;1,891;
14:19:18:653;0;-69;0;0;0;0;-0,891;-1,526;1,873;
14:19:18:811;0;0;-67;0;0;0;-0,898;-1,528;1,865;
14:19:18:963;0;-69;0;0;0;0;-0,997;-1,525;1,766;
14:19:19:118;0;0;-67;0;0;0;-0,936;-1,524;1,827;
14:19:19:750;0;0;-66;0;0;0;-0,855;-1,528;1,913;
14:19:19:893;0;-68;0;0;0;0;-0,942;-1,524;1,829;
14:19:20:048;0;0;-67;0;0;0;-0,983;-1,529;1,787;
14:19:20:203;0;-66;0;0;0;0;-0,804;-1,523;1,967;
14:19:20:358;0;0;-67;0;0;-66;-0,793;-1,526;1,973;
14:19:20:513;0;-67;0;0;0;0;-0,966;-1,523;1,801;
14:19:20:668;0;0;-71;0;0;-66;-1,087;-1,525;1,679;
14:19:20:823;0;-68;0;0;-68;0;-0,979;-1,525;1,787;
14:19:20:978;0;0;-66;0;0;-66;-0,881;-1,525;1,884;
14:19:21:133;0;-67;0;0;-68;0;-0,828;-1,526;1,937;
14:19:21:288;0;0;-66;0;0;-66;-1,050;-1,531;1,719;
14:19:21:916;0;0;-67;0;0;-66;-0,705;-1,543;2,057;
14:19:22:063;0;-68;0;0;-68;0;-0,883;-1,510;1,896;
14:19:22:218;0;0;-68;0;0;-66;-0,904;-1,540;1,864;
