TIMESTAMP;RSSI NO ANTENNA;RSSI ANTENNA PCB;RSSI ANTENNA 3D;AVERAGE NO;AVERAGE PCB;AVERAGE 3D;ORIENTATION_X;ORIENTATION_Y;ORIENTATION_Z;
14:19:29:792;0;0;-81;0;0;-83;0,241;0,022;-0,035;
14:19:29:793;0;0;-81;0;0;-84;0,241;0,022;-0,035;
14:19:30:088;0;0;-84;0;0;-84;0,258;0,027;-0,035;
14:19:30:088;0;0;-84;0;0;-84;0,258;0,027;-0,035;
14:19:30:242;0;-81;0;0;-82;0;0,316;0,021;-0,035;
14:19:30:242;0;-81;0;0;-80;0;0,316;0,021;-0,035;
14:19:30:402;0;0;-79;0;0;-83;0,323;0,023;-0,037;
14:19:30:401;0;0;-79;0;0;-83;0,323;0,023;-0,037;
14:19:30:558;0;-79;0;0;-81;0;0,307;0,022;-0,040;
14:19:30:558;0;-79;0;0;-82;0;0,307;0,022;-0,040;
14:19:30:711;0;0;-79;0;0;-83;0,289;0,025;-0,035;
14:19:30:711;0;0;-79;0;0;-83;0,289;0,025;-0,035;
14:19:30:867;0;-79;0;0;-82;0;0,219;0,021;-0,039;
14:19:30:870;0;-79;0;0;-81;0;0,219;0,021;-0,039;
14:19:31:022;0;0;-83;0;0;-83;0,223;0,026;-0,035;
14:19:31:021;0;0;-83;0;0;-83;0,223;0,026;-0,035;
14:19:31:333;0;0;-85;0;0;-83;0,211;0,022;-0,034;
14:19:31:334;0;0;-85;0;0;-82;0,211;0,022;-0,034;
14:19:31:646;0;0;-80;0;0;-82;0,212;0,022;-0,036;
14:19:32:106;0;-78;0;0;-82;0;0,222;0,019;-0,037;
14:19:32:107;0;-78;0;0;-82;0;0,227;0,021;-0,034;
14:19:32:261;0;0;-90;0;0;-82;0,239;0,021;-0,035;
14:19:32:261;0;0;-90;0;0;-82;0,239;0,021;-0,035;
14:19:32:571;0;0;-81;0;0;-82;0,231;0,021;-0,034;
14:19:32:571;0;0;-81;0;0;-82;0,231;0,021;-0,034;
14:19:32:877;0;0;-80;0;0;-82;0,231;0,022;-0,036;
