TIMESTAMP;RSSI NO ANTENNA;RSSI ANTENNA PCB;RSSI ANTENNA 3D;AVERAGE NO;AVERAGE PCB;AVERAGE 3D;ORIENTATION_X;ORIENTATION_Y;ORIENTATION_Z;
15:29:28:833;0;-57;0;0;0;0;2,613;0,048;-0,039;
15:29:28:991;0;0;-60;0;0;0;2,610;0,049;-0,037;
15:29:29:146;0;-62;0;0;0;0;2,615;0,047;-0,039;
15:29:29:301;0;0;-65;0;0;0;2,618;0,048;-0,039;
15:29:29:456;0;-59;0;0;0;0;2,614;0,049;-0,038;
15:29:29:614;0;0;-63;0;0;0;2,612;0,049;-0,039;
15:29:29:766;0;-59;0;0;0;0;2,612;0,050;-0,039;
15:29:29:921;0;0;-62;0;0;0;2,607;0,048;-0,037;
15:29:30:572;0;0;-60;0;0;0;2,610;0,049;-0,038;
15:29:30:697;0;-60;0;0;0;0;2,612;0,050;-0,039;
15:29:31:171;0;0;-59;0;0;0;2,615;0,049;-0,041;
15:29:31:316;0;-58;0;0;0;0;2,616;0,051;-0,037;
15:29:31:471;0;0;-59;0;0;0;2,621;0,048;-0,038;
15:29:31:626;0;-59;0;0;0;0;2,626;0,050;-0,039;
15:29:31:781;0;0;-60;0;0;0;2,625;0,048;-0,041;
15:29:31:936;0;-61;0;0;0;0;2,622;0,050;-0,038;
15:29:32:091;0;0;-60;0;0;0;2,623;0,050;-0,040;
15:29:32:246;0;-59;0;0;0;0;2,611;0,050;-0,038;
15:29:32:726;0;0;-61;0;0;0;2,602;0,047;-0,038;
15:29:32:866;0;-60;0;0;0;0;2,601;0,049;-0,037;
15:29:33:352;0;0;-59;0;0;0;2,604;0,051;-0,039;
15:29:33:810;0;-57;0;0;0;0;2,603;0,048;-0,041;
15:29:33:951;0;0;-57;0;0;0;2,599;0,049;-0,039;
15:29:34:261;0;0;-60;0;0;0;2,602;0,049;-0,040;
15:29:34:416;0;-62;0;0;0;0;2,603;0,049;-0,041;
15:29:34:571;0;0;-60;0;0;0;2,594;0,047;-0,038;
15:29:34:882;0;0;-62;0;0;0;2,608;0,050;-0,041;
15:29:35:036;0;-57;0;0;0;0;2,603;0,049;-0,039;
15:29:35:190;0;0;-57;0;0;-57;2,608;0,049;-0,040;
15:29:35:348;0;-58;0;0;0;0;2,607;0,048;-0,037;
15:29:35:656;0;-58;0;0;0;0;2,609;0,049;-0,040;
15:29:36:134;0;0;-58;0;0;-58;2,605;0,049;-0,040;
15:29:36:276;0;-56;0;0;0;0;2,601;0,048;-0,039;
15:29:36:435;0;0;-57;0;0;-58;2,608;0,049;-0,040;
15:29:36:586;0;-61;0;0;-57;0;2,600;0,049;-0,038;
15:29:36:741;0;0;-59;0;0;-59;2,601;0,050;-0,038;
15:29:37:051;0;0;-59;0;0;-59;2,606;0,050;-0,039;
15:29:37:206;0;-60;0;0;-57;0;2,605;0,051;-0,039;
15:29:37:363;0;0;-60;0;0;-59;2,597;0,049;-0,039;
15:29:37:518;0;-60;0;0;-58;0;2,600;0,050;-0,041;
15:29:37:672;0;0;-59;0;0;-59;2,596;0,050;-0,038;
15:29:37:825;0;-59;0;0;-59;0;2,602;0,050;-0,039;
15:29:38:911;0;0;-61;0;0;-59;2,598;0,050;-0,041;
15:29:39:221;0;0;-61;0;0;-59;2,606;0,052;-0,039;
15:29:39:375;0;-60;0;0;-59;0;2,606;0,047;-0,038;
15:29:39:531;0;0;-59;0;0;-59;2,619;0,049;-0,039;
15:29:39:685;0;-59;0;0;-59;0;2,619;0,047;-0,039;
15:29:39:840;0;0;-59;0;0;-59;2,623;0,050;-0,039;
15:29:39:995;0;-59;0;0;-59;0;2,628;0,052;-0,040;
15:29:40:152;0;0;-59;0;0;-59;2,619;0,050;-0,041;
15:29:40:305;0;-59;0;0;-59;0;2,618;0,050;-0,039;
15:29:40:462;0;0;-59;0;0;-59;2,614;0,048;-0,037;
15:29:40:615;0;-59;0;0;-59;0;2,614;0,048;-0,039;
15:29:40:770;0;0;-59;0;0;-59;2,621;0,048;-0,040;
15:29:41:545;0;-59;0;0;-59;0;2,618;0,050;-0,039;
15:29:41:700;0;0;-59;0;0;-59;2,613;0,049;-0,040;
15:29:41:855;0;-59;0;0;-59;0;2,618;0,050;-0,039;
15:29:42:165;0;-59;0;0;-59;0;2,624;0,048;-0,038;
15:29:42:320;0;0;-59;0;0;-59;2,623;0,050;-0,036;
15:29:42:476;0;-59;0;0;-59;0;2,629;0,049;-0,040;
15:29:42:631;0;0;-59;0;0;-59;2,623;0,050;-0,039;
15:29:42:785;0;-60;0;0;-59;0;2,621;0,049;-0,041;
15:29:42:940;0;0;-60;0;0;-59;2,619;0,050;-0,038;
15:29:43:097;0;-60;0;0;-59;0;2,620;0,050;-0,041;
15:29:43:575;0;0;-60;0;0;-59;2,616;0,050;-0,039;
15:29:43:718;0;-58;0;0;-58;0;2,614;0,051;-0,038;
15:29:43:871;0;0;-59;0;0;-59;2,621;0,050;-0,039;
