TIMESTAMP;RSSI NO ANTENNA;RSSI ANTENNA PCB;RSSI ANTENNA 3D;AVERAGE NO;AVERAGE PCB;AVERAGE 3D;ORIENTATION_X;ORIENTATION_Y;ORIENTATION_Z;
14:22:54:377;0;0;-82;0;0;-76;-1,622;0,065;-0,477;
14:22:54:544;0;-83;0;0;-76;0;-1,891;-0,018;-0,230;
14:22:54:997;0;0;-78;0;0;-76;-2,024;0,030;-0,050;
14:22:55:152;0;-79;0;0;-76;0;-1,983;0,013;-0,018;
14:22:55:617;0;0;-79;0;0;-76;-2,043;0,014;-0,015;
14:22:55:773;0;-79;0;0;-76;0;-2,039;0,028;-0,026;
14:22:55:927;0;0;-79;0;0;-76;-1,983;0,009;-0,026;
14:22:56:237;0;0;-79;0;0;-77;-1,993;0,011;-0,027;
14:22:56:392;0;-78;0;0;-76;0;-2,027;0,021;-0,016;
14:22:56:548;0;0;-78;0;0;-76;-1,986;0,009;-0,037;
14:22:56:701;0;-78;0;0;-76;0;-2,009;-0,018;0,018;
14:22:57:167;0;0;-77;0;0;-77;-2,040;0,023;-0,022;
14:22:57:322;0;-76;0;0;-76;0;-2,022;0,023;-0,024;
14:22:57:483;0;0;-77;0;0;-77;-2,015;0,023;-0,033;
14:22:57:784;0;0;-77;0;0;-77;-2,036;0,012;-0,023;
14:22:57:786;0;0;-77;0;0;-77;-2,036;0,012;-0,023;
14:22:57:942;0;-77;0;0;-76;0;-2,061;0,024;-0,026;
14:22:57:942;0;-77;0;0;-77;0;-2,057;0,024;-0,026;
14:22:58:098;0;0;-77;0;0;-77;-2,062;0,022;-0,026;
14:22:58:098;0;0;-77;0;0;-77;-2,062;0,022;-0,026;
14:22:58:252;0;-77;0;0;-76;0;-2,050;0,021;-0,030;
14:22:58:253;0;-77;0;0;-77;0;-2,050;0,021;-0,030;
14:22:58:407;0;0;-76;0;0;-77;-2,032;0,023;-0,023;
14:22:58:410;0;0;-76;0;0;-77;-2,032;0,023;-0,023;
14:22:58:562;0;-75;0;0;-76;0;-2,030;0,021;-0,020;
14:22:58:562;0;-75;0;0;-77;0;-2,030;0,021;-0,020;
14:22:58:717;0;0;-77;0;0;-77;-2,038;0,022;-0,028;
14:22:58:717;0;0;-77;0;0;-77;-2,038;0,022;-0,028;
14:22:58:872;0;-76;0;0;-77;0;-2,028;0,017;-0,024;
14:22:58:872;0;-76;0;0;-76;0;-2,028;0,017;-0,024;
14:22:59:027;0;0;-80;0;0;-77;-2,026;0,020;-0,024;
14:22:59:027;0;0;-80;0;0;-77;-2,026;0,020;-0,024;
14:22:59:182;0;-79;0;0;-77;0;-2,024;0,019;-0,022;
14:22:59:492;0;-76;0;0;-77;0;-2,009;0,021;-0,024;
14:22:59:492;0;-76;0;0;-77;0;-2,009;0,021;-0,024;
14:22:59:650;0;0;-81;0;0;-77;-2,012;0,021;-0,023;
14:22:59:650;0;0;-81;0;0;-77;-2,012;0,021;-0,023;
14:23:00:285;0;0;-79;0;0;-78;-2,035;0,022;-0,024;
14:23:00:284;0;0;-79;0;0;-77;-2,035;0,022;-0,024;
14:23:00:422;0;-79;0;0;-77;0;-2,062;0,022;-0,023;
14:23:00:422;0;-79;0;0;-77;0;-2,062;0,022;-0,023;
14:23:00:577;0;0;-79;0;0;-78;-2,038;0,020;-0,023;
