TIMESTAMP;carType;carBase;algoSelected;isIndoor;addressConnectable;addressConnectableRemote;addressConnectablePC;addressFrontLeft;addressFrontRight;addressLeft;addressMiddle;addressRight;addressTrunk;addressRearLeft;addressBack;addressRearRight;logNumber;rollAvElement;startNumElement;lockNumelement;unlockNumElement;welcomeNumElement;LongNumElement;shortNumElement;thatchamTimeout;preAuthTimeout;actionTimeout;sizeAcc;correctionAcc;frozenThr;wantedSpeed;stepSize;indoorRatioCloseToCar;outsideRatioCloseToCar;offsetEarStart;offsetEarLock;offsetEarUnlock;offsetPocketStart;offsetPocketLock;offsetPocketUnlock;indoorStartThr;indoorUnlockThr;indoorLockThr;indoorWelcomeThr;indoorNearDoorRatioThr;indoorBackDoorRatioMinThr;indoorBackDoorRatioMaxThr;indoorNearDoorRatioMB;indoorNearDoorRatioMLMRMaxThr;indoorNearDoorRatioMLMRMinThr;indoorNearDoorRatioTLTRMaxThr;indoorNearDoorRatioTLTRMinThr;indoorAverageDeltaLockThr;indoorAverageDeltaUnlockThr;outsideStartThr;outsideUnlockThr;outsideLockThr;outsideWelcomeThr;outsideNearDoorRatioThr;outsideBackDoorRatioMinThr;outsideBackDoorRatioMaxThr;outsideNearDoorRatioMB;outsideNearDoorRatioMLMRMaxThr;outsideNearDoorRatioMLMRMinThr;outsideNearDoorRatioTLTRMaxThr;outsideNearDoorRatioTLTRMinThr;outsideAverageDeltaLockThr;outsideAverageDeltaUnlockThr;unlockValidNumber;unlockMode;lockMode;startMode;ecretage100;ecretage70;ecretage50;ecretage30;equaLeft;equaMiddle;equaRight;equaTrunk;equaBack;equaFrontLeft;equaRearLeft;equaFrontRight;equaRearRight;
09:40:45:521;eightFlFrLMRTRlRr;Base_1;MACHINE_LEARNING;false;D4:F5:13:56:2A:B8;5C:E0:C5:34:4D:32;B0:B4:48:BD:56:85;24:71:89:1D:4E:4D;24:71:89:1D:4E:66;24:71:89:1D:4E:79;24:71:89:1D:4E:1A;24:71:89:1D:4E:3D;24:71:89:1D:4C:FC;24:71:89:1D:4E:6D;78:A5:04:81:5A:21;24:71:89:1D:4E:61;20;20;3;5;5;10;20;2;3.0;1.3;0.02;10;0.0;0.0;5.1;70;0;0;-5;-5;-5;0;2;-3;-73;-65;-70;-95;8;-5;5;0;12;2;12;2;-10;10;-73;-65;-70;-95;8;-5;5;0;12;2;12;2;-10;10;1;1;7;1;2.0;2.0;1.0;1.0;0;0;0;2;1;-5;-5;-5;-5
TIMESTAMP;RSSI LEFT;RSSI MIDDLE;RSSI RIGHT;RSSI TRUNK;RSSI FRONTLEFT;RSSI FRONTRIGHT;RSSI REARLEFT;RSSI REARRIGHT;RSSI BACK;RSSI LEFT_ORIGIN;RSSI MIDDLE_ORIGIN;RSSI RIGHT_ORIGIN;RSSI TRUNK_ORIGIN;RSSI FRONTLEFT_ORIGIN;RSSI FRONTRIGHT_ORIGIN;RSSI REARLEFT_ORIGIN;RSSI REARRIGHT_ORIGIN;RSSI BACK_ORIGIN;LEFT_OFFSET38;MIDDLE_OFFSET38;RIGHT_OFFSET38;TRUNK_OFFSET38;FRONTLEFT_OFFSET38;FRONTRIGHT_OFFSET38;REARLEFT_OFFSET38;REARRIGHT_OFFSET38;BACK_OFFSET38;LEFT_OFFSET39;MIDDLE_OFFSET39;RIGHT_OFFSET39;TRUNK_OFFSET39;FRONTLEFT_OFFSET39;FRONTRIGHT_OFFSET39;REARLEFT_OFFSET39;REARRIGHT_OFFSET39;BACK_OFFSET39;LEFT_IS_ACTIVE;MIDDLE_IS_ACTIVE;RIGHT_IS_ACTIVE;TRUNK_IS_ACTIVE;FRONTLEFT_IS_ACTIVE;FRONTRIGHT_IS_ACTIVE;REARLEFT_IS_ACTIVE;REARRIGHT_IS_ACTIVE;BACK_IS_ACTIVE;Z AZIMUTH;X PITCH;Y ROLL;IN POCKET;IS LAID;ARE LOCK ACTIONS AVAILABLE;IS START BLOCKED;IS START FORCED;IS LOCK BLOCKED;IS LOCK FORCED;IS UNLOCK BLOCKED;IS UNLOCK FORCED;IS FROZEN;IS LOCK;REARM LOCK;REARM UNLOCK;REARM WELCOME;WELCOME FLAG;LOCK FLAG;START FLAG;LEFT AREA FLAG;RIGHT AREA FLAG;BACK AREA FLAG;WALK AWAY FLAG;APPROACH FLAG;LEFT TURN FLAG;RIGHT TURN FLAG;APPROACHSIDE FLAG;APPROACHROAD FLAG;RECORD FLAG;PREDICTION;LOCK FROM TRX;LOCK TO SEND;START ALLOWED;IS THATCHAM;BLE CHANNEL LEFT;BLE CHANNEL MIDDLE;BLE CHANNEL RIGHT;BLE CHANNEL TRUNK;BLE CHANNEL FRONTLEFT;BLE CHANNEL FRONTRIGHT;BLE CHANNEL REARLEFT;BLE CHANNEL REARRIGHT;BLE CHANNEL BACK;BEEPINT;
09:40:49:601;-68;-49;-72;-72;-68;-68;-72;-91;0;-19;-19;-98;-98;-19;-19;-98;-86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1.3843194;0.024271447;-0.014108636;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;UNKNOWN;0;0;0;0;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;BLE_CHANNEL_38;UNKNOWN;0;
09:40:49:745;-72;-51;-72;-74;-70;-69;-72;-72;0;-88;-83;-98;-91;-85;-74;-91;-88;0;10;10;0;-10;10;10;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1.3840711;0.023774883;-0.01564161;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;UNKNOWN;0;0;0;0;BLE_CHANNEL_38;BLE_CHANNEL_38;UNKNOWN;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;UNKNOWN;0;
09:40:49:889;-74;-53;-72;-74;-74;-69;-74;-74;0;-86;-82;-75;-89;-86;-74;-89;-84;0;10;10;-10;-10;10;10;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1.384937;0.023762988;-0.015125324;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;UNKNOWN;0;0;0;0;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;UNKNOWN;0;
09:40:50:057;-72;-51;-74;-76;-76;-67;-76;-90;0;-86;-82;-74;-93;-86;-72;-91;-85;0;10;10;-10;-10;10;10;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1.3837457;0.024817199;-0.0146393115;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;UNKNOWN;0;0;0;0;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;UNKNOWN;0;
09:40:51:262;-74;-53;-74;-78;-78;-68;-78;-90;0;-84;-85;-74;-87;-87;-73;-90;-85;0;10;10;-10;-10;10;10;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1.3788317;0.024272095;-0.012075173;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;UNKNOWN;0;0;0;0;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;UNKNOWN;0;
09:40:51:411;-80;-65;-76;-92;-79;-69;-90;-99;0;-90;-82;-79;-85;-84;-74;-92;-98;0;10;10;-10;-10;10;10;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1.3838251;0.026317831;-0.012081315;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;right;0;0;0;1;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;UNKNOWN;0;
09:40:51:569;-78;-67;-78;-92;-79;-69;-92;-90;0;-88;-83;-79;-84;-84;-74;-92;-94;0;10;10;-10;-10;10;10;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1.3769705;0.025326418;-0.013621055;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;right;0;0;0;1;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;UNKNOWN;0;
09:40:51:735;-77;-71;-78;-94;-80;-69;-92;-92;0;-87;-84;-78;-85;-85;-74;-94;-89;0;10;10;-10;-10;10;10;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1.3822426;0.02731963;-0.014616984;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;right;0;0;0;1;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;UNKNOWN;0;
09:40:51:881;-75;-73;-80;-94;-80;-69;-94;-92;0;-85;-85;-77;-84;-85;-74;-95;-87;0;10;10;-10;-10;10;10;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1.3758605;0.024830015;-0.014137385;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;right;0;0;0;1;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;BLE_CHANNEL_38;UNKNOWN;0;
09:40:52:046;-78;-71;-82;-95;-80;-69;-96;-93;0;-99;-79;-73;-88;-85;-74;-90;-96;0;10;10;-10;-10;10;10;-2;0;0;20;4;-14;-7;14;0;-2;10;0;0;0;0;0;0;0;0;1;0;-1.375563;0.024804931;-0.013614123;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;right;0;0;0;1;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_38;BLE_CHANNEL_39;BLE_CHANNEL_39;UNKNOWN;0;
