TIMESTAMP;carType;carBase;addressConnectable;addressConnectableRemote;addressConnectablePC;addressFrontLeft;addressFrontRight;addressLeft;addressMiddle;addressRight;addressTrunk;addressRearLeft;addressBack;addressRearRight;logNumber;preAuthTimeout;actionTimeout;wantedSpeed;stepSize;
14:18:18:117;eightFlFrLMRTRlRr;Base_1;D4:F5:13:56:2A:B8;5C:E0:C5:34:4D:32;B0:B4:48:BD:56:85;24:71:89:1D:4E:4D;24:71:89:1D:4E:66;24:71:89:1D:4E:79;24:71:89:1D:4E:1A;24:71:89:1D:4E:3D;24:71:89:1D:4C:FC;24:71:89:1D:4E:6D;78:A5:04:81:5A:21;24:71:89:1D:4E:61;150;1.3;0.02;5.2;70;
TIMESTAMP;RSSI LEFT_ORIGIN;RSSI MIDDLE_ORIGIN;RSSI RIGHT_ORIGIN;RSSI TRUNK_ORIGIN;RSSI FRONTLEFT_ORIGIN;RSSI FRONTRIGHT_ORIGIN;RSSI REARLEFT_ORIGIN;RSSI REARRIGHT_ORIGIN;RSSI BACK_ORIGIN;ORIENTATION_X;ORIENTAION_Y;ORIENTATION_Z;ACCELERATION;LEFT_IS_ACTIVE;MIDDLE_IS_ACTIVE;RIGHT_IS_ACTIVE;TRUNK_IS_ACTIVE;FRONTLEFT_IS_ACTIVE;FRONTRIGHT_IS_ACTIVE;REARLEFT_IS_ACTIVE;REARRIGHT_IS_ACTIVE;BACK_IS_ACTIVE;IN POCKET;ARE LOCK ACTIONS AVAILABLE;IS LOCK;REARM LOCK;REARM UNLOCK;REARM WELCOME;WELCOME FLAG;LOCK FLAG;START FLAG;LEFT AREA FLAG;RIGHT AREA FLAG;BACK AREA FLAG;WALK AWAY FLAG;APPROACH FLAG;LEFT TURN FLAG;RIGHT TURN FLAG;APPROACHSIDE FLAG;APPROACHROAD FLAG;RECORD FLAG;PREDICTION;LOCK FROM TRX;LOCK TO SEND;START ALLOWED;IS THATCHAM;BLE CHANNEL LEFT;BLE CHANNEL MIDDLE;BLE CHANNEL RIGHT;BLE CHANNEL TRUNK;BLE CHANNEL FRONTLEFT;BLE CHANNEL FRONTRIGHT;BLE CHANNEL REARLEFT;BLE CHANNEL REARRIGHT;BLE CHANNEL BACK;BEEPINT;
14:18:27:050;-78;-60;-70;-82;-92;-71;-93;-74;0;-0.6132074;-0.615694;0.03687412;0.06264533351334478;0;0;0;0;0;1;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;start;1;1;0;0;BLE_CHANNEL_37;UNKNOWN;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:27:158;-79;-60;-69;-81;-91;-71;-89;-74;0;-0.62682414;-0.6341563;0.014536085;0.026846679223835324;1;0;1;0;0;1;1;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;start;1;1;1;0;BLE_CHANNEL_37;UNKNOWN;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:27:266;-78;-60;-67;-80;-95;-72;-90;-74;0;-0.7410427;-0.6252257;-0.031244544;0.10496318946517214;1;0;1;1;1;1;1;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;start;1;1;1;0;BLE_CHANNEL_37;UNKNOWN;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:27:376;-77;-60;-68;-80;-92;-71;-89;-74;0;-0.6753115;-0.62809575;-0.007640885;0.47084189096393025;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;start;1;1;1;0;BLE_CHANNEL_37;UNKNOWN;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:27:487;-77;-60;-67;-80;-91;-73;-89;-74;0;-0.6520975;-0.6125266;0.007626591;0.2427419579935215;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;start;1;1;1;0;BLE_CHANNEL_37;UNKNOWN;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:27:595;-75;-60;-67;-80;-89;-73;-90;-74;0;-0.5693859;-0.5872531;0.050083764;0.17027993572027889;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;start;1;1;1;0;BLE_CHANNEL_37;UNKNOWN;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:27:710;-76;-75;-66;-80;-88;-72;-91;-74;0;-0.65568805;-0.59063774;0.013383522;0.2548357238908814;0;0;0;0;0;1;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;start;1;1;1;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:27:828;-78;-74;-66;-80;-86;-73;-90;-71;0;-0.48648924;-0.5474099;0.0933468;0.0038467903761567612;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;start;1;1;1;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:27:949;-80;-74;-67;-81;-85;-73;-88;-71;0;-0.6148386;-0.55243343;0.048868746;0.18227791328861542;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;lock;1;1;0;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:28:070;-81;-76;-67;-80;-85;-73;-90;-71;0;-0.639675;-0.5588189;0.030189766;0.04589685383895592;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;lock;1;1;0;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:28:191;-82;-77;-67;-79;-84;-75;-89;-73;0;-0.46885356;-0.5737627;0.07579426;0.3843557516011149;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;lock;1;1;0;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:28:309;-81;-77;-67;-80;-84;-74;-97;-74;0;-0.54499537;-0.58635426;0.04215504;0.15741269552135506;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;lock;1;1;0;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:28:421;-80;-77;-67;-78;-83;-74;-94;-74;0;-0.4096385;-0.61589044;0.07413728;0.10014341598733267;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;lock;1;1;0;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:28:541;-80;-77;-67;-78;-84;-74;-94;-74;0;-0.4631915;-0.6256697;0.05126492;0.10011286190957414;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;lock;1;1;0;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:28:660;-80;-77;-67;-78;-84;-74;-94;-74;0;-0.51496106;-0.6399634;0.022825668;0.01733131856660819;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;lock;1;1;0;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:28:832;-80;-77;-67;-78;-84;-74;-94;-74;0;-0.48718604;-0.5998123;0.057174746;0.44690685723101176;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;lock;1;1;0;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:28:940;-75;-79;-67;-78;-84;-72;-94;-74;0;-0.4858197;-0.6359243;0.038779844;0.41365034344225826;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;lock;1;1;0;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:29:060;-75;-80;-69;-83;-92;-71;-97;-74;0;-0.49087197;-0.5986533;0.0616011;0.8007241361542796;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;lock;1;1;0;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:29:179;-76;-80;-68;-84;-93;-72;-95;-79;0;-0.5405648;-0.6240405;0.034927554;0.3608271606377773;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;lock;1;1;0;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:29:290;-76;-80;-69;-83;-93;-71;-95;-79;0;-0.48335534;-0.6171148;0.06340926;0.6354586421715691;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;lock;1;1;0;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:29:412;-75;-83;-69;-85;-93;-72;-95;-77;0;-0.5435764;-0.58352566;0.064421795;0.3648037809833191;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;lock;1;1;0;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:29:532;-76;-83;-69;-83;-91;-74;-92;-78;0;-0.46689662;-0.5900377;0.091390125;0.028480581364656032;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;lock;1;1;0;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:29:650;-78;-82;-71;-82;-88;-72;-88;-73;0;-0.5964138;-0.55017203;0.083928205;0.010494620392766052;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;lock;1;1;0;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:29:770;-78;-79;-70;-79;-89;-74;-86;-74;0;-0.62606275;-0.62224054;0.029971821;0.4364865243751517;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;lock;1;1;0;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:29:889;-79;-81;-70;-77;-88;-74;-85;-73;0;-0.49525258;-0.54176426;0.1275884;0.07128965721728164;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;lock;1;1;0;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:30:007;-76;-84;-71;-75;-90;-74;-88;-74;0;-0.46882796;-0.5303241;0.14283758;0.9800694556382883;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;lock;1;1;0;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
14:18:30:119;-76;-88;-70;-74;-90;-73;-87;-76;0;-0.40014693;-0.575395;0.14728156;0.09199352998078147;0;0;0;0;0;0;0;0;0;0;1;5;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;lock;1;1;0;0;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;BLE_CHANNEL_37;UNKNOWN;0;
